"tyear","tmonth","id_sepomex","capital_gain","delta_capital_gain_index"
2017,4,11069,0.9496772305462068,-0.029005028071696914
2017,7,11069,0.937809880794792,-0.012496192779718696
2017,10,11069,0.9252508822138207,-0.013391838621200747
2018,1,11069,0.9527403075582839,0.029710239539237238
2018,4,11069,1.0061184973950443,0.05602595944907596
2018,7,11069,1.0554867404198551,0.04906802046938896
2018,10,11069,1.0978364067609734,0.04012335230689135
2019,1,11069,1.113314707874077,0.01409891402560648
2019,4,11069,1.12171403000718,0.00754442753131479
2019,7,11069,1.1236588138009884,0.0017337607819669643
2019,10,11069,1.1330432888795114,0.008351712248648058
2020,1,11069,1.1437659725790585,0.009463613442475705
2020,4,11069,1.1420925737503527,-0.0014630605113497008
2020,7,11069,1.1747429924828912,0.02858824186670139
2020,10,11069,1.206972296614408,0.027435195900507914
2021,1,11069,1.2590918216992264,0.04318203924896635
