"tyear","tmonth","id_sepomex","cap_rate","delta_cap_rate","median_cap_rate","delta_median_cap_rate"
2023,3,11328,0.05401801575676262,0.12878169589991195,0.05807407407407408,0.05708857995132521
2023,4,11328,0.05661615439008929,0.048097631816500064,0.06126918367268059,0.05501783109845393
2023,5,11328,0.04823373600249628,-0.148057007366441,0.0541992499066626,-0.11539134916155924
2023,6,11328,0.06149384311260947,0.27491353996354184,0.06167775367601754,0.13798168392060406
2023,7,11328,0.04813104222104976,-0.21730306995269955,0.048580117913832196,-0.21235591411102517
2023,8,11328,0.05521770448065057,0.14723683370607565,0.055536537195523365,0.14319477968394279
2023,4,11329,0.06942233632862643,,0.06942233632862643,
2023,5,11329,0.04621645291363785,-0.33427113868853753,0.06173122529644269,-0.1107872687513154
2023,7,11329,0.03830441839293593,-0.17119519179645204,0.03830441839293593,-0.37949687198022863
2023,8,11329,0.04166578272233789,0.08775395817057663,0.041321560336608214,0.07876746522350819
2023,9,11329,0.058262173586489684,0.398321831003408,0.058262173586489684,0.4099703184459176
2023,10,11329,0.026806153846153848,-0.5399046723452507,0.026806153846153848,-0.5399046723452507
2022,9,11331,0.052883546077130604,,0.05638713584682959,
2023,3,11331,0.05375003622592067,0.0163848722913984,0.053226671869664885,-0.05604937952070865
2023,4,11331,0.049080571519645955,-0.0868737034268805,0.049958789365739595,-0.06139558212332519
2023,5,11331,0.06434575919585461,0.3110230220138801,0.060366870483601995,0.20833333333333304
2023,6,11331,0.05182650295185085,-0.19456225865480659,0.054491131655574995,-0.09733383196704026
2023,7,11331,0.047458338017572085,-0.08428438512119929,0.058217986571155296,0.06839378816973074
2023,8,11331,0.06382793880917252,0.34492570695457925,0.0682891911238368,0.17299128921905016
2023,9,11331,0.052262576943407454,-0.1811959164205854,0.059692201329204594,-0.12589093022118647
2023,7,11333,0.045838509316770186,,0.045838509316770186,
2023,3,11336,0.050773365183636905,,0.050773365183636905,
2023,8,11341,0.08060302813698096,,0.08060302813698096,
2022,12,11343,0.05287207369636871,,0.05287207369636871,
2023,6,11343,0.04800076806128644,-0.09213381081016381,0.05211504925215954,-0.014318039586579845
2023,7,11343,0.07416983156511081,0.545180099418664,0.088528078817734,0.6987046944806559
2023,8,11343,0.07433531476325174,0.0022311389233189427,0.08293531280243499,-0.06317505236743781
2023,9,11343,0.05035351176817445,-0.32261655273077405,0.04559176574573034,-0.45027318032383723
2023,2,11344,0.06261664491741757,,0.07669547120300411,
2023,5,11344,0.0551195298696898,-0.11973038570839112,0.0556448898694888,-0.2744696786306565
2023,7,11344,0.057172525494940965,0.037246247021785805,0.06003634051058417,0.07891920806016883
2022,6,11347,0.05487405152207606,,0.05339432581047802,
2022,7,11347,0.05723885839675107,0.04309517538947594,0.05723885839675107,0.07200264312577209
2022,10,11347,0.04111672756603758,-0.2816640876895722,0.043722830523379844,-0.23613377785568157
2023,1,11347,0.04932405232824857,0.19961035928818038,0.04944408109875736,0.13085270342500355
2023,2,11347,0.04702171866384578,-0.04667770703592833,0.04838618256405973,-0.021395857930590956
2023,3,11347,0.0510006784102446,0.08461961534932527,0.050621173564495185,0.04619068672087301
2023,4,11347,0.05001312738023691,-0.019363488110176297,0.04717910289391051,-0.06799665887238315
2023,5,11347,0.05483740668667216,0.09646026071830094,0.0481203007518797,0.01994946491639782
2023,6,11347,0.05069443179965728,-0.07555016069025378,0.049157190200792775,0.0215478588602247
2023,7,11347,0.058802897062048824,0.15994784781168714,0.057857404207603165,0.17698761811390273
2023,8,11347,0.056279333970026324,-0.04291562521757453,0.05059697117733268,-0.1254883991030551
2023,9,11347,0.05575447274228899,-0.009326002827554247,0.05379866666666667,0.06327840214214908
2023,10,11347,0.055039416536229395,-0.012825091349437767,0.055490049140049146,0.03143911509670261
2023,2,11348,0.0676667356252163,,0.08675233430608385,
2023,3,11348,0.05381653283112631,-0.20468259132229594,0.05293505522377502,-0.38981405345236064
